MatchID,OpponentID,Outcome,OwnScore,OpponentScore,Side,CoachID,OurPossession,OurPossessionRate,OpponentPossession,OpponentPossessionRate,OurSuccessPass,OurTotalPass,OurAccuracy,OpponentSuccessPass,OpponentTotalPass,OpponentAccuracy
1,Opponent1,win,1,0,home,Coach1,1534.24,0.627707,909.96,0.372293,369,482,0.76556,197,267,0.737828
2,Opponent2,tie,1,1,away,Coach1,1185.59,0.417971,1650.95,0.582029,180,276,0.652174,416,521,0.798464
3,Opponent3,loss,0,2,away,Coach1,1373.76,0.438505,1759.07,0.561495,324,419,0.77327,471,563,0.83659
4,Opponent4,loss,0,3,home,Coach1,1424.57,0.496437,1445.01,0.503563,354,446,0.793722,345,455,0.758242
5,Opponent5,loss,0,4,away,Coach1,1484,0.517498,1383.64,0.482502,382,469,0.814499,373,468,0.797009
6,Opponent6,win,2,1,home,Coach1,1553.25,0.469568,1754.58,0.530432,318,414,0.768116,294,397,0.740554
7,Opponent7,loss,0,1,home,Coach1,1617.91,0.61752,1002.1,0.38248,384,501,0.766467,179,281,0.637011
8,Opponent8,tie,1,1,away,Coach1,1266.21,0.483065,1354.99,0.516935,295,424,0.695755,277,379,0.730871
9,Opponent9,loss,2,5,home,Coach1,995.978,0.386785,1579.04,0.613215,168,267,0.629213,501,603,0.830846
10,Opponent10,loss,0,2,away,Coach2,1535.74,0.61951,943.223,0.38049,359,456,0.787281,214,298,0.718121
11,Opponent11,win,3,2,home,Coach2,933.131,0.381039,1515.78,0.618961,183,285,0.642105,317,442,0.717195
12,Opponent12,tie,2,2,away,Coach2,933.762,0.382404,1508.06,0.617596,132,240,0.55,426,510,0.835294
13,Opponent13,loss,1,4,away,Coach2,1005.71,0.33344,2010.45,0.66656,247,303,0.815182,504,657,0.767123
14,Opponent14,win,4,0,home,Coach2,1317.71,0.435375,1708.9,0.564625,347,412,0.842233,347,486,0.713992
15,Opponent15,win,2,0,home,Coach3,1164.78,0.465496,1337.46,0.534504,271,346,0.783237,224,378,0.592593
16,Opponent16,tie,1,1,away,Coach3,491.148,0.185202,2160.81,0.814798,80,159,0.503145,605,728,0.831044
17,Opponent17,win,1,0,away,Coach3,1215.1,0.435924,1572.32,0.564076,304,406,0.748768,362,451,0.802661
18,Opponent18,win,3,1,home,Coach3,1307.97,0.494623,1336.41,0.505377,312,415,0.751807,302,390,0.774359
19,Opponent3,tie,0,0,home,Coach3,925.363,0.320711,1959.99,0.679289,248,320,0.775,498,678,0.734513
20,Opponent19,tie,0,0,away,Coach3,1052.19,0.512829,999.541,0.487171,230,324,0.709877,230,364,0.631868
21,Opponent6,loss,1,2,away,Coach3,1494.17,0.59825,1003.39,0.40175,366,461,0.793926,204,384,0.53125
22,Opponent5,loss,0,2,home,Coach3,1145.45,0.405842,1676.95,0.594158,239,353,0.677054,476,562,0.846975
23,Opponent4,loss,0,4,away,Coach3,1275.03,0.440358,1620.41,0.559642,236,343,0.688047,473,549,0.861566
24,Opponent19,tie,1,1,home,Coach3,1647.08,0.635965,942.812,0.364035,320,462,0.692641,186,317,0.586751
25,Opponent10,win,2,1,home,Coach3,964.624,0.434279,1256.58,0.565721,249,331,0.752266,273,431,0.633411
26,Opponent9,loss,1,5,away,Coach3,1398.77,0.476518,1536.63,0.523482,287,355,0.808451,423,523,0.808795
27,Opponent12,win,3,1,home,Coach3,1236.84,0.508313,1196.39,0.491687,283,373,0.758713,220,317,0.694006
28,Opponent11,loss,0,1,away,Coach3,1039.33,0.463464,1203.19,0.536536,238,334,0.712575,260,392,0.663265
29,Opponent7,loss,1,2,away,Coach3,1034.22,0.490045,1076.24,0.509955,220,325,0.676923,255,395,0.64557
30,Opponent8,win,2,0,home,Coach3,1278.86,0.544614,1069.34,0.455386,312,404,0.772277,172,281,0.6121
31,Opponent1,win,2,1,away,Coach3,1480.53,0.540952,1256.37,0.459048,329,430,0.765116,215,301,0.714286
32,Opponent2,loss,1,3,home,Coach3,613.204,0.189802,2617.56,0.810198,109,182,0.598901,877,940,0.932979
33,Opponent16,tie,0,0,home,Coach3,1094.95,0.411451,1566.25,0.588549,207,315,0.657143,446,543,0.821363
34,Opponent18,tie,1,1,away,Coach3,1206.8,0.464345,1392.13,0.535655,336,405,0.82963,293,430,0.681395
35,Opponent17,win,1,0,home,Coach3,1409.53,0.558725,1113.23,0.441275,347,469,0.739872,240,360,0.666667
36,Opponent15,win,2,0,away,Coach3,1125.89,0.430213,1491.16,0.569787,302,408,0.740196,298,452,0.659292
37,Opponent13,tie,1,1,home,Coach3,1365.18,0.576511,1002.83,0.423489,293,388,0.755155,246,331,0.743202
38,Opponent14,loss,1,3,away,Coach3,1219.82,0.429133,1622.71,0.570867,275,341,0.806452,355,448,0.792411
